ip_address,vlan,department
192.168.10.0,VLAN10,Marketing
192.168.10.1,VLAN10,Marketing
192.168.10.2,VLAN10,Marketing
192.168.10.3,VLAN10,Marketing
192.168.10.4,VLAN10,Marketing
192.168.10.5,VLAN10,Marketing
192.168.10.6,VLAN10,Marketing
192.168.10.7,VLAN10,Marketing
192.168.10.8,VLAN10,Marketing
192.168.10.9,VLAN10,Marketing
192.168.10.10,VLAN10,Marketing
192.168.10.11,VLAN10,Marketing
192.168.10.12,VLAN10,Marketing
192.168.10.13,VLAN10,Marketing
192.168.10.14,VLAN10,Marketing
192.168.10.15,VLAN10,Marketing
192.168.10.16,VLAN10,Marketing
192.168.10.17,VLAN10,Marketing
192.168.10.18,VLAN10,Marketing
192.168.10.19,VLAN10,Marketing
192.168.10.20,VLAN10,Marketing
192.168.10.21,VLAN10,Marketing
192.168.10.22,VLAN10,Marketing
192.168.10.23,VLAN10,Marketing
192.168.10.24,VLAN10,Marketing
192.168.10.25,VLAN10,Marketing
192.168.10.26,VLAN10,Marketing
192.168.10.27,VLAN10,Marketing
192.168.10.28,VLAN10,Marketing
192.168.10.29,VLAN10,Marketing
192.168.10.30,VLAN10,Marketing
192.168.10.31,VLAN10,Marketing
192.168.10.32,VLAN10,Marketing
192.168.10.33,VLAN10,Marketing
192.168.10.34,VLAN10,Marketing
192.168.10.35,VLAN10,Marketing
192.168.10.36,VLAN10,Marketing
192.168.10.37,VLAN10,Marketing
192.168.10.38,VLAN10,Marketing
192.168.10.39,VLAN10,Marketing
192.168.10.40,VLAN10,Marketing
192.168.10.41,VLAN10,Marketing
192.168.10.42,VLAN10,Marketing
192.168.10.43,VLAN10,Marketing
192.168.10.44,VLAN10,Marketing
192.168.10.45,VLAN10,Marketing
192.168.10.46,VLAN10,Marketing
192.168.10.47,VLAN10,Marketing
192.168.10.48,VLAN10,Marketing
192.168.10.49,VLAN10,Marketing
192.168.10.50,VLAN10,Marketing
192.168.10.51,VLAN10,Marketing
192.168.10.52,VLAN10,Marketing
192.168.10.53,VLAN10,Marketing
192.168.10.54,VLAN10,Marketing
192.168.10.55,VLAN10,Marketing
192.168.10.56,VLAN10,Marketing
192.168.10.57,VLAN10,Marketing
192.168.10.58,VLAN10,Marketing
192.168.10.59,VLAN10,Marketing
192.168.10.60,VLAN10,Marketing
192.168.10.61,VLAN10,Marketing
192.168.10.62,VLAN10,Marketing
192.168.10.63,VLAN10,Marketing
192.168.10.64,VLAN20,Sales
192.168.10.65,VLAN20,Sales
